"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Day"	"Initial Wave Arrival Hour"	"Initial Wave Arrival Minute"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hour"	"Max Wave Arrival Minute"	"Maximum Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
	365	7	21				4	1	38	8			"n"	"GREECE"		"ACHAEA, PELOPONNESUS"	38.25	21.75	377.576											1										2				
	365	7	21				4	1	38	8			"n"	"SPAIN"		"MALAGA"	36.717	-4.417	2475.306											1				3						3				
	365	7	21				4	1	38	8			"n"	"SPAIN"		"ADRA"	36.7333	-3.0167	2350.336											1														
	365	7	21				4	1	38	8			"n"	"EGYPT"		"ALEXANDRIA"	31.2	29.919	770.887											1				1						1		1		
	368						2	1	3475	6.4			"n"	"TURKEY"		"BITHYNIA"														1														
	407	4	1				1	1	2315	6.6			"n"	"ITALY"		"ISCHIA ISLAND"	40.733	13.95	1267.562											1														
	416						2	6	39		4562		"n"	"INDONESIA"	"LAMPUNG"	"MOUNT RAJABASA, SUMATRA I."	-5.8368	105.6513	38.717											1				3										
	416						2	6	39		4562		"n"	"INDIA"	"TAMIL NADU"	"POOMPUHAR"	13.1144	80.2086	3505.778											1										3				
	416						2	6	39		4562		"n"	"INDONESIA"	"WEST JAVA"	"GEDE MOUNTAIN, JAVA"	-6.78	106.8	169.778											1														
	416						2	6	39		4562		"n"	"INDONESIA"	"BANTEN"	"BATUWARA MOUNTAIN, JAVA"	-6.342	105.94	63.072											1														
	447	1	26				1	1	41	7.3			"n"	"TURKEY"		"ISTANBUL (CONSTANTINOPLE)"	41.019	28.965	41.317											1														
	543						3	1	43	6.8			"n"	"CYPRUS"		"APHRODISIO"	35.4041667	33.7416667	753.773											1				3						3				
	543						3	1	43	6.8			"n"	"BULGARIA"		"DIONISIOUPOLIS [BALCHIK]"	43.4167	28.1667	347.509											1				3						3				
	543						3	1	43	6.8			"n"	"TURKEY"		"GULF OF EDREMIT"	39.583333	26.95	107.746											1														
	543						3	1	43	6.8			"n"	"BULGARIA"		"ODESSOS [VARNA]"	43.2167	27.9167	324.099											1				3						3				
	551	4					4	3	46	7.1			"n"	"GREECE"		"ECHINOS, MALIAKOS GULF"	38.88	22.72	64.624											1														
	551	4					4	3	46	7.1			"n"	"GREECE"		"TARPHE, MALIAKOS GULF (TARFI)"														1														
	551	4					4	3	46	7.1			"n"	"GREECE"		"MALIACUS (MALIAKOS) GULF"														1														
	551	4					4	3	46	7.1			"n"	"GREECE"		"SKARPHIA, MALIAKOS GULF"	38.837	22.69	59.219											1														
	551	7	9				4	1	47	7.8			"n"	"TURKEY"		"LEVANTIAN SEA"														1														
	554	8	15				3	1	48	7			"n"	"TURKEY"		"GULF OF ANTALYA"														1														
	554	8	15				3	1	48	7			"n"	"GREECE"		"ISLAND OF KOS"	36.8933	27.2889	10.401											1														
	554	8	15				3	1	48	7			"n"	"GREECE"		"SOUTHERN SPORADES"														1														
	684	11	29				4	1	53	8.4			"n"	"JAPAN"	"KOCHI"	"TOSA"	33.51	133.44	123.634											1														
	684	11	29				4	1	53	8.4			"n"	"JAPAN"	"MIE"	"ATASHIKA"	33.917	136.15	254.701									3		1														
	701	5	12				4	1	54	7			"n"	"JAPAN"	"KYOTO"	"TANGO, KYOTO"	35.87	135.08	34.536											1														
	704	8	2				4	1	55	7			"n"	"JAPAN"		"KUMAMONADA"														1														
	740	10	26				2	1	56	7.3			"n"	"TURKEY"		"THRACIAN COAST"	41	29	41.832											1														
	740	10	26				2	1	56	7.3			"n"	"TURKEY"		"IZMIT"	40.77	29.94	54.617											1														
	744	6	30				4	1	57	6.4			"n"	"JAPAN"	"KUMAMOTO"	"KUMAMOTO"	32.83	130.7	51.248											1			1520	4						3	470	3		
	745	6	9				3	1	58	6.5			"n"	"JAPAN"	"OSAKA"	"OSAKA BAY"	34.5	135.33	11.43											1				3										
	746	1	18				2	1	59	7			"n"	"EGYPT"		"COAST"														1														
	746	1	18				2	1	59	7			"n"	"LEBANON"																1														
	766	7	20				4	6	61	6.5	844		"n"	"JAPAN"	"KAGOSHIMA"	"OSUMI ISLAND"	30	130	189.613											1				3										
	792	4	30				1	1	62				"n"	"ITALY"		"GULF OF VENICE"	45.5	12.5	117.235											1														
	799	9	18				2	0	63				"n"	"JAPAN"	"IBARAKI"	"HITACHI"	36.58	140.67										2		1														
	799	9	18				2	0	63				"n"	"JAPAN"	"IBARAKI"	"KUJI"	40.1878	141.7689												1														
	799	9	18				2	0	63				"n"	"JAPAN"	"IBARAKI"	"NAKAMINATO"	36.333	140.59												1														
	799	9	18				2	0	63				"n"	"JAPAN"	"IBARAKI"	"KASHIMA"	35.933	140.69												1														
	818	8					4	3	66	7.9			"n"	"JAPAN"	"CHIBA"	"BOSO PENINSULA"	34.9	139.85	60.212											1				3										
	842	10	24				1	1	67				"n"	"UK"		"CHANNEL ISLANDS, ENGLAND"	49.333	-2.317	22.832											1														
	842	10	24				1	1	67				"n"	"FRANCE"		"NORTHERN FRANCE"														1														
	850	11	27				4	3	69	7			"n"	"JAPAN"	"AKITA"	"KISAGATA"	39.2167	139.9	24.058										4000	1										2				
	855	6					-1	0	70				"n"	"JAPAN"	"KAGOSHIMA"	"KUMANO"	30.68	130.967												1														
	859						2	1	71				"n"	"TURKEY"		"SAMANDAGI"	36.08	36.25	0											1														
	863	7	10				4	3	72	7			"n"	"JAPAN"	"NIIGATA"	"NAOETSUKO"	37.1	138	0											1														
	869	7	13				4	1	74	8.6			"n"	"JAPAN"	"FUKUSHIMA"	"IWAKI"	37.07	140.9	300.724											1														
	869	7	13				4	1	74	8.6			"n"	"JAPAN"	"WAKAYAMA"	"IWASHIRO"	33.783	135.283	927.53											1														
	869	7	13				4	1	74	8.6			"n"	"JAPAN"	"IWATE"	"RIKUCHU"	39.74	142	207.794											1														
	869	7	13				4	1	74	8.6			"n"	"JAPAN"	"MIYAGI"	"SHIOGAMA"	38.3	141	245.585											1										1				
	869	7	13				4	1	74	8.6			"n"	"JAPAN"	"MIYAGI"	"SENDAI"	38.267	141.033	243.131											1			1000	3						3		3		
	881	4	8				2	0	75				"n"	"ISRAEL"		"AKKO (ACRE)"	32.924	35.073												1														
	881	4	8				2	0	75				"n"	"EGYPT"		"ALEXANDRIA"	31.2	29.919												1														
	887	8	2				3	1	76	6.5			"n"	"JAPAN"	"NIIGATA"	"S. COAST NIIGATA PREFECTURE"	37.92	139.05	95.865									4		1			2000	4										
	887	8	26				4	1	77	8.6			"n"	"JAPAN"	"KANAGAWA"	"HIYUGA"	35.3	139.65	475.34											1										2				
	887	8	26				4	1	77	8.6			"n"	"JAPAN"	"OSAKA"	"OSAKA BAY"	34.5	135.33	166.4											1				2						2				
	900						1	0	5283				"n"	"INDIA"	"TAMIL NADU"	"NAGAPATTINUM, TAMIL NADU"	10.767	79.833	47.46											1			200	3						3		2		
	922						4	1	79	7			"n"	"JAPAN"	"MIE"	"KUMAMONADA"	33.8	136.7	0									2		1														
	963	7	22				3	1	3429				"n"	"ITALY"	"SICILY"	"ISLAND OF SICILY"	38	15	0											1				4										
	975	10	26				2	0	81				"n"	"TURKEY"		"MARMARA SEA, STRAIT OF BOSPORUS"	41.04	28.98	0											1														
	1008	4	11				2	1	3562	6.5			"n"	"IRAN"		"SIRAF"	27.66666	52.3425	0.573											1				3						1				
	1026	6	16				3	1	83	7.5			"n"	"JAPAN"	"YAMAGUCHI"	"SUSA"	34.6167	131.6	27.371									10		1														
	1026	6	16				3	1	83	7.5			"n"	"JAPAN"	"SHIMANE"	"IWAMI COAST"	34.88	132.43	58.303									10		1			1000	3										
	1033	12	5				4	1	84				"n"	"LEBANON"		"LEBANON COAST"	33.8	35.8	115.808											1														
	1033	12	5				4	1	84				"n"	"ISRAEL"		"GAZA"	31.52	34.43	172.683											1														
	1033	12	5				4	1	84				"n"	"ISRAEL"		"CAESAREA PHILIPPI"	32.483	34.883	58.374											1														
	1033	12	5				4	1	84				"n"	"ISRAEL"		"ASHKELON"	31.667	34.55	153.771											1														
	1033	12	5				4	1	84				"n"	"ISRAEL"		"AKKO (ACRE)"	32.924	35.073	10.845											1				2										
	1039	2	2				1	1	87	6.8			"n"	"TURKEY"		"ISTANBUL (CONSTANTINOPLE)"	41.019	28.965	323.931											1														
	1050						3	6	3102		4845		"n"	"GREECE"		"ISLAND OF THIRA"														1														
	1065	9	23				3	1	3103				"n"	"TURKEY"		"PRINCES ISLANDS, MARMARA SEA"	40.87	29.12												1														
	1065	9	23				3	1	3103				"n"	"TURKEY"		"ISTANBUL (CONSTANTINOPLE)"	41.019	28.965												1														
	1065	9	23				3	1	3103				"n"	"TURKEY"		"NICOLIDEA"														1														
	1068	3	18				3	1	90				"n"	"ISRAEL"		"ASHDOD"	31.817	34.65	258.475											1				3						3				
	1068	3	18				3	1	90				"n"	"ISRAEL"		"HOLON"	32.011	34.772	278.904											1				3						3				
	1068	3	18				3	1	90				"n"	"ISRAEL"		"YAVNE"	31.817	34.717	257.84											1				3						3				
	1076	10	31				1	0	91				"n"	"CHINA"		"CHAOANG, KWANGTUNG"														1				1						1		1		
	1088	6	10				4	1	93	7			"n"	"JAPAN"	"IWATE"	"SANRIKU COAST"	39.33	142	155.517									2		1														
	1096	12	17				4	1	96	8.4			"n"	"JAPAN"		"SURUGA BAY"	34.7	138.2	100.882											1										3			400	3
	1096	12	17				4	1	96	8.4			"n"	"JAPAN"	"MIE"	"MIE"	34.69	136.54	116.877											1														
	1096	12	17				4	1	96	8.4			"n"	"JAPAN"	"SHIZUOKA"	"SHIZUOKA"	34.98	138.4	136.571											1														
	1096	12	17				4	1	96	8.4			"n"	"JAPAN"	"MIE"	"TSU"	34.717	136.517	120.43									5		1														
	1096	12	17				4	1	96	8.4			"n"	"JAPAN"	"YAMAGATA"	"ATSUMI"	34.62	137.11	77.58									7		1														
	1099	2	22				4	1	2992	8.4			"n"	"JAPAN"	"WAKAYAMA"	"NANKAIDO COAST"	33	135.5	0											1														
	1099	11	11				1	0	97				"n"	"UK"		"SAINT MICHAEL'S MOUNT, ENGLAND"	50.116	-5.483	0											1														
	1106	3					-1	1	98				"n"	"ITALY"		"MALAMOCCO"	45.373	12.344	14.529											1														
	1112	6	20				2	0	4201				"n"	"ITALY"	"CAMPANIA"	"NAPLES"	40.83	14.25	2.221											1														
	1169	2	4	7			4	1	2852	7	1		"n"	"ITALY"	"SICILY"	"MESSINA, SICILY"	38.18	15.562	108.345											1														
	1169	2	11				3	6	3107		4846		"n"	"ITALY"		"CALABRIAN ARC"														1														
	1172						3	1	3108				"n"	"ITALY"	"SICILY"	"ISLAND OF SICILY"	38	15	0											1				3										
	1202	5	20				4	3	100	7.6			"n"	"CYPRUS"		"PAPHOS"	34.75	32.42	358.149											1										1				
	1202	5	20				4	3	100	7.6			"n"	"CYPRUS"		"LIMASSOL"	34.67	33.03	303.261											1														
	1202	5	20				4	3	100	7.6			"n"	"EGYPT"		"COAST"	31.2	29.919	626.523											1														
	1222	5					3	1	101	6.6			"n"	"CYPRUS"		"PAPHOS"	34.75	32.42	59.984											1														
	1222	5					3	1	101	6.6			"n"	"CYPRUS"		"LIMASSOL"	34.67	33.03	19.058											1														
	1231	3	11				2	1	3478	6.9			"n"	"TURKEY"		"ISTANBUL (CONSTANTINOPLE)"	41.019	28.965	30.777											1														
	1241	5	22				4	1	104	7			"n"	"JAPAN"	"KANAGAWA"	"KAMAKURA"	35.309	139.55	18.237											1														
	1241	5	22				4	1	104	7			"n"	"JAPAN"	"KANAGAWA"	"YUIGAHAMA"	35.283	139.567	17.772											1										1				
	1257	10	9				4	1	106	7			"n"	"JAPAN"	"IWATE"	"KUJI"	40.195	141.79	589.977											1														
	1257	10	9				4	1	105	7.5			"n"	"JAPAN"	"IWATE"	"SANRIKU COAST"	39	141.7	199.235											1														
	1257	10	9				4	1	106	7			"n"	"JAPAN"	"KANAGAWA"	"SAGAMI BAY"	35.2	139.5	0											1														
	1257	10	9				4	1	106	7			"n"	"JAPAN"	"IWATE"	"NODA"	40.11	141.82	582.083											1														
	1265	8	11				3	1	3109	6.6			"n"	"TURKEY"		"ISLAND OF PROCONNESUS (MARMARA IS)"	40.633	27.617	19.8											1														
	1273	9					2	1	108	6.5			"n"	"ALBANIA"		"DURRES"	41.3231	19.4414	21.806											1														
	1293	5	27				-1	1	110	7.1			"n"	"JAPAN"	"KANAGAWA"	"KAMAKURA"	35.309	139.55	18.237											1														
	1303	8	8				3	1	111	8			"n"	"EGYPT"		"EGYPT COAST"														1														
	1303	8	8				3	1	111	8			"n"	"LEBANON"		"LEBANON COAST"														1														
	1303	8	8				3	1	111	8			"n"	"GREECE"		"HERAKLION (IRAKLION), CRETE"	35.339	25.18	170.01											1				1						1		1		
	1303	8	8				3	1	111	8			"n"	"GREECE"		"CANDIA, CRETE"	35.333	25.133	174.052											1				3						3				
	1303	8	8				3	1	111	8			"n"	"GREECE"		"ISLAND OF RHODES"	36.167	28	158.048											1														
	1303	8	8				3	1	111	8			"n"	"SYRIA"		"SYRIA COAST"														1														
	1303	8	8				3	1	111	8			"n"	"EGYPT"		"ALEXANDRIA"	31.2	29.919	501.792											1			70	2						1				
	1303	8	8				3	1	111	8			"n"	"ISRAEL"		"AKKO (ACRE)"	32.924	35.073	780.603											1				2										
	1303	8	8				3	1	111	8			"n"	"GREECE"		"PELOPENNESUS"														1														
	1321						2	1	3111				"n"	"ITALY"	"VENETO"	"VENICE"	45.439	12.327	4.822											1														
	1329	6	28				2	4	3112		5844		"n"	"ITALY"	"SICILY"	"ISLAND OF SICILY"	38	15	29.526											1														
	1332	2	12				2	1	115	6.8			"n"	"TURKEY"		"ISTANBUL (CONSTANTINOPLE)"	41.019	28.965	14.303											1														
	1341	10	31				3	1	116	7			"n"	"JAPAN"	"AOMORI"	"JUSAN-MINATO"	41.033	140.333	70.163											1			2600	4										
	1343	10	18				4	1	3114	7.5			"n"	"TURKEY"		"MARMARA SEA, STRAIT OF BOSPORUS"	41.03	29	64.264											1				3						2		2		
	1343	10	18				4	1	3114	7.5			"n"	"TURKEY"		"ISTANBUL (CONSTANTINOPLE)"	41.03	29	64.264											1				3						2		2		
	1343	11	25				2	0	3113				"n"	"ITALY"	"CAMPANIA"	"BAY OF NAPLES"	40.83	14.25												1														
	1348	1	25	23			2	1	3115				"n"	"ITALY"		"GULF OF VENICE"	45.5	12.5	158.337											1														
	1360	11	22				4	1	122	7			"n"	"JAPAN"	"OSAKA"	"OSAKA BAY"	34.667	135.433	157.378											1				3										
	1360	11	22				4	1	122	7			"n"	"JAPAN"		"WAKAYAMA"	34.2	135.2	128.251											1														
	1360	11	22				4	1	122	7			"n"	"JAPAN"		"OWASE"	34.083	136.2	75.757											1				3										
	1361	8	3				4	1	124	8.4			"n"	"JAPAN"	"TOKUSHIMA"	"AWA"	34.06	134.6	123.3											1			60	2										
	1361	8	3				4	1	124	8.4			"n"	"JAPAN"	"OSAKA"	"NAMBAURA, OSAKA"	34.7	135.5	194.157											1			600	3										
	1361	8	3				4	1	124	8.4			"n"	"JAPAN"	"TOKUSHIMA"	"YUKI PORT, TOKUSHIMA"	33.767	134.6	92.854											1			200	3						4	1700	4		
	1361	8	3				4	1	124	8.4			"n"	"JAPAN"	"OSAKA"	"NANIWA, OSAKA"	34.65	135.5	188.778											1			200	3						2				
	1361	8	3				4	1	124	8.4			"n"	"JAPAN"	"OSAKA"	"SETTSU"	34.7782	135.5951	204.775											1														
	1361	8	3				4	1	124	8.4			"n"	"JAPAN"	"TOKUSHIMA"	"NARUTO, TOKUSHIMA"	34.183	134.617	135.943											1														
	1365	1	2				3	1	3116				"n"	"ALGERIA"		"ALGIERS"	36.763	3.051	6.131									5		1				1										
	1389	3	20				2	1	126	6.8			"n"	"GREECE"		"CHIOS"	38.368	26.136	14.763											1														
	1402	6					2	1	3117	7			"n"	"GREECE"		"GULF OF CORINTH"	38.35	22.25	30.099											1														
	1403	11	16				2	1	127				"n"			"SYRIA - PALESTINE"														1														
	1403	12					4	1	128	7			"n"	"JAPAN"	"KANAGAWA"	"KAMAKURA"	35.31	139.54	331.39											1														
	1403	12					4	1	128	7			"n"	"JAPAN"	"WAKAYAMA"	"SOUTH COAST OF KII PENINSULA"	33.5	135.8	68.653											1														
	1407	8	23				1	0	130				"n"	"NORTH KOREA"		"HAEJU"	38.0406	125.7147	4.688											1														
	1408	1	21				4	1	131	7			"n"	"JAPAN"	"KANAGAWA"	"KAMAKURA"	35.31	139.54	294.543											1														
	1408	1	21				4	1	131	7			"n"	"JAPAN"	"WAKAYAMA"	"SOUTH COAST OF KII PENINSULA"	33.5	135.8	107.326											1														
	1408	12	20				2	1	3565				"n"	"SYRIA"		"LATAKIA"	35.517	35.783	81.012											1														
	1420	9	6				3	0	132				"n"	"JAPAN"	"IBARAKI"	"AIGA, HITACHI"	36.58	140.66												1														
	1420	9	6				3	0	132				"n"	"JAPAN"	"IBARAKI"	"KAWARAGO AISE, HITACHI"	36.54	140.64												1														
	1433	11	7				4	1	133	7.1			"n"	"JAPAN"	"KANTO"	"TONE RIVER"	35.75	140.8	151.21											1														
	1434	8	6				1	0	135				"n"	"SOUTH KOREA"		"INCHON"	37.4536	126.7317	64.925											1										1				
	1448	9	19				3	1	136	7			"n"	"JAPAN"	"TOYAMA"	"TOYAMA BAY-NIIGATA"	36.7	137.23	123.764											1														
	1456	12	4	20			2	1	3118				"n"	"ITALY"	"CAMPANIA"	"BAY OF NAPLES"	40.83	14.25	64.459											1														
	1481	5	3				4	1	137	7.1			"n"	"GREECE"		"ISLAND OF RHODES"	36.167	28	18.53									3		1				3						3				
	1481	10	3				2	1	5418				"n"	"GREECE"		"ISLAND OF RHODES"	36.167	28	18.53											1														
	1494	7	1				3	1	3119	7.2			"n"	"GREECE"		"HERACLION [CANDIA], ISLAND OF CRETE"	35.333	25.133	38.136											1										1				
	1495	9	12				4	1	142	7.1			"n"	"JAPAN"	"KANAGAWA"	"YUIGAHAMA"	35.283	139.567	21.2											1			200	3										
	1495	9	12				4	1	142	7.1			"n"	"JAPAN"	"KANAGAWA"	"KAMAKURA"	35.309	139.55	23.63									5		1														
	1498	7	9				2	1	144	6.4			"n"	"JAPAN"	"KANAGAWA"	"KAMAKURA"	35.309	139.55	196.95											1														
	1498	7	9				2	1	144	6.4			"y"	"CHINA"		"SHANGHAI"	31	121.5	1563.216											1														
	1498	7	9				2	1	144	6.4			"n"	"JAPAN"	"MIE"	"ISE"	34.48	136.71	91.418											1														
	1498	7	9				2	1	144	6.4			"n"	"JAPAN"		"KII PENINSULA"														1														
	1498	8	2				2	1	145				"n"	"VENEZUELA"		"PEDERNALES"	9.967	-62.267	8.247											1				3						3		3		
	1498	9	20				4	1	146	8.3			"n"	"JAPAN"	"MIE"	"OMINATO (ISE)"	34.517	136.75	136.927									10		1			5000	4						4	1000	3		
	1498	9	20				4	1	146	8.3			"n"	"JAPAN"	"TOKYO"	"YAENE, HACHIJO ISLAND"	33.1	139.767	184.201											1			1	1										
	1498	9	20				4	1	2993	7.5			"n"	"JAPAN"	"WAKAYAMA"	"MINATO"	34.0903	135.09	66.263											1										1				
	1498	9	20				4	1	146	8.3			"n"	"JAPAN"	"KANAGAWA"	"KAMAKURA"	35.309	139.55	196.857											1			200	3										
	1498	9	20				4	1	146	8.3			"n"	"JAPAN"	"SHIZUOKA"	"NISHINA COUNTY"	34.7667	138.7667	104.846										2000	1														
	1498	9	20				4	1	146	8.3			"n"	"JAPAN"	"SHIZUOKA"	"YAIZU"	34.867	138.333	98.532											1			26000	4										
	1498	9	20				4	1	146	8.3			"n"	"JAPAN"	"SHIZUOKA"	"LAKE HAMANA"	34.683	137.6	88.638											1														
	1500						2	0	147				"n"	"USA"	"HI"	"KALAELOA, MOLOKAI, HI"	21.05	-156.85												1				3										
	1508	5	29				2	1	149	7.1			"n"	"GREECE"		"ISLAND OF CRETE"														1														
	1509	6	17				2	1	151				"n"	"TAIWAN"		"CHIATUNG"	24.33	120.567	799.849											1														
	1509	6	17				2	1	151				"n"	"CHINA"		"WUSONG"	31.3683	121.4928	14.619											1														
	1509	6	17				2	1	151				"n"	"CHINA"		"NANXIANG"	31.2947	121.2983	29.768											1														
	1509	9	10				3	1	152	7.7			"n"	"TURKEY"		"ISTANBUL (CONSTANTINOPLE)"	41.019	28.965	76.827											1														
	1510	9	21				4	1	154	6.7			"n"	"JAPAN"	"OSAKA"	"NANIWA (OSAKA)"	34.7	135.5	14.391											1														
	1510	10	10				-1	9	156				"y"	"JAPAN"	"SHIZUOKA"	"TOTOMI-NADA"	34.6	138.2	56.177											1														
	1511	3	26				2	1	157	6.5			"n"	"ITALY"		"GULF OF VENICE"	45.5	12.5	106.324											1														
	1511	3	26				2	1	157	6.5			"n"	"ITALY"		"TRIESTE"	45.65	13.77	66.487											1														
	1512	10					1	0	158				"y"	"JAPAN"	"TOKUSHIMA"	"SHIKOKU ISLAND"	34.067	134.567												1			3700	4										
